"#{""t_start"": 1543729345.3484435"," ""env_id"": ""BaxterReachEnv-v11""}",
r,l,t
-147.938683,100,1810.501131
-138.346134,100,1812.960427
-136.83449,100,1815.381409
-140.189549,100,1817.729878
-143.086194,100,1820.083087
-160.949199,100,1822.257542
-145.170399,100,1824.527946
-145.678214,100,1826.819089
-135.550983,100,1829.173985
-142.578134,100,1831.522543
-141.937082,100,1833.859177
-137.984795,100,1836.35735
-117.832427,100,1838.423535
-140.156521,100,1840.816348
-145.785494,100,1843.293576
-151.481227,100,1845.661875
-143.60686,100,1847.904536
-142.571037,100,1850.129763
-145.329679,100,1852.615242
-175.103549,100,1854.591122
-149.417111,100,1856.948816
-143.03855,100,1859.334206
-148.139859,100,1861.66205
-138.743837,100,1863.941954
-137.991686,100,1866.471519
-140.732583,100,1868.917571
-145.348622,100,1871.208573
-143.38208,100,1873.497617
-138.713363,100,1875.958407
-170.883436,100,1877.88966
-144.495949,100,1880.127632
-98.991668,100,1882.516876
-154.409556,100,1884.572522
-150.845289,100,1886.909251
-147.775283,100,1889.277814
-142.526035,100,1891.583153
-144.942129,100,1893.997688
-146.919185,100,1896.397603
-144.298452,100,1898.660378
-146.493889,100,1900.9279
-149.200279,100,1903.129771
-143.644134,100,1905.646146
-143.507798,100,1907.926464
-145.249768,100,1910.302996
-144.412625,100,1912.58351
-143.863322,100,1914.903827
-151.160388,100,1917.207499
-142.997736,100,1919.546199
-142.428375,100,1922.030789
-143.665364,100,1924.346234
-97.401617,100,1926.533605
-144.077003,100,1928.914428
-148.93865,100,1931.241822
-148.358148,100,1933.485027
-143.884335,100,1935.788542
-143.920327,100,1938.262897
-141.675834,100,1940.733298
-148.12157,100,1943.155779
-134.912891,100,1945.573678
-143.135791,100,1947.985182
-143.301753,100,1950.350852
-147.927469,100,1952.691317
-145.223508,100,1955.081668
-147.176088,100,1957.414517
-144.2819,100,1959.723831
-144.156818,100,1962.0916
-161.037676,100,1964.20761
-152.148721,100,1966.547459
-146.442281,100,1968.828583
-147.260805,100,1971.096648
-145.956261,100,1973.513044
-162.836885,100,1975.573526
-145.005991,100,1977.870819
-123.743548,100,1980.023505
-150.142701,100,1982.263419
-80.179508,100,1984.482929
-156.604018,100,1986.429483
-152.680621,100,1988.703611
-147.949088,100,1991.135926
-192.097161,100,1993.161269
-145.543604,100,1995.521966
-123.722376,100,1997.678378
-73.462635,100,1999.975608
-158.177763,100,2002.021016
-144.409557,100,2004.346895
-116.681887,100,2006.453948
-166.767319,100,2008.550559
-175.126517,100,2010.594335
-151.833787,100,2012.941976
-154.741565,100,2015.018765
-146.117078,100,2017.218379
-151.918939,100,2019.512353
-130.880936,100,2021.680697
-148.848935,100,2023.972642
-146.609489,100,2026.435229
-158.084056,100,2028.480892
-145.295143,100,2030.678945
-118.775936,100,2032.956639
-125.063354,100,2035.029543
-111.612013,100,2037.16557
-191.2023,100,2039.179483
-150.044332,100,2041.43158
-144.247859,100,2043.875505
-150.564013,100,2045.888524
-142.573579,100,2048.273432
-172.267193,100,2050.229175
-170.744633,100,2052.351442
-144.57385,100,2054.647456
-165.367691,100,2056.642536
-109.458522,100,2058.728001
-112.596176,100,2061.171916
-148.333008,100,2063.77961
-146.246111,100,2066.244436
-146.979289,100,2068.617177
-148.946648,100,2070.903852
-144.153537,100,2073.478626
-145.923498,100,2075.963746
-158.7496,100,2078.072692
-162.038713,100,2080.294831
-104.830924,100,2082.398728
-122.308648,100,2084.732874
-147.124631,100,2087.036797
-149.13283,100,2089.442825
-144.515941,100,2091.719092
-142.348977,100,2094.176575
-141.344655,100,2096.53422
-144.72617,100,2098.772871
-120.885151,100,2100.890944
-128.287804,100,2102.97305
-143.286484,100,2105.491313
-148.474366,100,2107.878069
-141.874002,100,2110.318779
-168.922499,100,2112.466467
-170.525035,100,2114.636754
-146.306925,100,2117.043086
-101.160808,100,2119.36095
-178.58246,100,2121.209374
-150.039494,100,2123.448269
-154.684083,100,2125.646091
-148.771198,100,2128.078982
-147.814942,100,2130.301054
-174.888106,100,2132.340435
-145.260048,100,2134.702417
-145.241609,100,2137.173769
-163.523096,100,2139.310485
-111.418088,100,2141.462488
-149.560358,100,2143.693879
-157.68275,100,2145.931909
-146.613402,100,2148.209535
-164.340149,100,2150.42099
-149.678061,100,2152.750965
-152.892339,100,2155.088388
-168.054489,100,2157.221726
-142.320574,100,2159.772411
-146.508348,100,2162.177686
-170.270656,100,2164.341853
-97.868127,100,2166.594696
-147.245971,100,2169.064644
-128.598745,100,2171.254245
-103.580377,100,2173.492241
-115.222945,100,2175.680465
-141.869292,100,2178.121344
-150.18539,100,2180.503606
-156.154346,100,2182.711047
-172.680909,100,2184.730724
-143.759722,100,2187.241977
-149.975675,100,2189.493125
-167.274008,100,2191.698581
-150.956697,100,2193.921687
-122.174308,100,2196.075575
-95.504526,100,2198.416097
-160.787288,100,2200.619516
-146.18291,100,2203.101149
-147.461477,100,2205.484159
-160.827101,100,2207.597036
-137.633649,100,2209.847759
-159.099012,100,2211.987614
-143.662727,100,2214.289016
-139.68229,100,2216.306714
-145.809994,100,2218.847341
-147.415657,100,2221.329653
-153.536985,100,2223.611036
-147.532606,100,2225.993881
-170.762119,100,2227.836617
-139.830882,100,2230.358367
-138.442148,100,2232.760973
-138.707277,100,2235.102325
-142.960795,100,2237.395326
-171.257264,100,2239.406746
-144.289162,100,2241.662611
-142.244131,100,2244.005702
-151.61746,100,2246.226509
-145.909284,100,2248.765749
-141.280405,100,2251.105182
-142.414403,100,2253.65434
-139.443551,100,2255.953529
-165.709735,100,2258.171066
-145.41298,100,2260.510801
-135.897314,100,2262.903254
-151.653454,100,2265.155071
-113.115077,100,2267.221846
-141.097725,100,2269.686617
-135.977426,100,2272.173308
-141.513181,100,2274.590933
-137.796041,100,2276.952216
-149.745192,100,2279.181306
-156.374121,100,2281.334174
-143.040873,100,2283.571099
-146.342951,100,2285.825918
-136.601461,100,2288.132394
-145.739129,100,2290.543568
-143.8309,100,2292.864104
-152.069946,100,2295.08607
-139.009038,100,2297.418385
-157.553314,100,2299.440583
-141.71607,100,2301.840758
-110.764652,100,2303.96567
-138.131778,100,2306.43565
-145.568295,100,2308.59058
-145.02378,100,2310.951629
-140.489997,100,2313.464567
